Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.8,15809440,656,24099.8,20736.0,19008,113440,9365.2,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)
0.8,15247136,560,27227.0,24576.0,23712,316864,13815.0,"void flash_attn_stream_k_fixup_general<(int)256, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.7,13670272,8,1708784.0,1610304.0,128160,3757984,1692459.2,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,12356928,1320,9361.3,10464.0,1120,43744,6178.4,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
0.4,8484192,880,9641.1,10944.0,3072,45984,4861.4,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.4,7841056,64,122516.5,139328.0,43872,190208,44798.4,"scale_f32(const float *, float *, float, float, long)"
0.3,5958400,16,372400.0,358544.0,355744,558816,49927.1,nvjet_sm121_tst_mma_192x144x64_2_48x72x64_tmaAB_bz_TNNN
0.2,4767520,768,6207.7,5120.0,3616,34560,2903.3,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.2,4474208,16,279638.0,277504.0,252416,323264,13582.4,"void rms_norm_f32<(int)256, (bool)1, (bool)1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.2,4154240,656,6332.7,6016.0,4160,32672,2331.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,4022368,176,22854.4,28864.0,6048,63840,12868.8,"void rope_neox<(bool)1, (bool)1, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.2,3445504,112,30763.4,29728.0,25248,44128,4224.0,"void flash_attn_stream_k_fixup_general<(int)512, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.2,3156160,16,197260.0,165568.0,164480,426464,84991.8,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.1,2314880,384,6028.3,5152.0,4160,20992,2441.1,"void rms_norm_f32<(int)256, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.1,1896128,16,118508.0,115200.0,114144,135584,7015.5,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.1,1881152,660,2850.2,2496.0,800,28032,1612.3,"void unary_op_kernel<&op_gelu, float>(const T2 *, T2 *, int)"
0.1,1278016,32,39938.0,17776.0,5568,133696,36026.3,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long)"
0.1,1174464,4,293616.0,292160.0,251168,338976,36080.8,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,521408,16,32588.0,32000.0,27232,41248,2880.0,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.0,58304,4,14576.0,12848.0,11840,20768,4226.1,"void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,54816,4,13704.0,13120.0,11616,16960,2533.5,"void mul_mat_vec_f<float, float, (int)1, (int)128, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,33920,12,2826.7,1728.0,1248,7296,1937.9,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,26496,12,2208.0,1440.0,768,5152,1578.4,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,23552,4,5888.0,4944.0,4736,8928,2032.4,"softcap_f32(const float *, float *, float, float, int)"
0.0,9600,4,2400.0,1584.0,1120,5312,1963.4,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
