Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.9,5143712,207,24848.9,21984.0,20000,208384,15501.7,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)
0.8,4452160,178,25012.1,24128.0,23328,57248,4444.6,"void flash_attn_stream_k_fixup_general<(int)256, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.7,3944672,416,9482.4,12416.0,1088,37280,6113.4,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
0.6,3353568,2,1676784.0,1676784.0,134496,3219072,2181124.6,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,2939040,24,122460.0,137120.0,44384,208384,45243.6,"scale_f32(const float *, float *, float, float, long)"
0.5,2782240,281,9901.2,11616.0,3296,52160,5766.7,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.4,2248672,6,374778.7,360272.0,350240,447840,36725.4,nvjet_sm121_tst_mma_192x144x64_2_48x72x64_tmaAB_bz_TNNN
0.3,1667904,6,277984.0,280992.0,253952,291936,12725.5,"void rms_norm_f32<(int)256, (bool)1, (bool)1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.3,1488896,246,6052.4,5504.0,3904,19712,1980.0,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.2,1210592,55,22010.8,29664.0,6016,39520,12064.9,"void rope_neox<(bool)1, (bool)1, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.2,1090048,207,5265.9,5056.0,4096,11200,933.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,1006528,6,167754.7,161328.0,160960,193152,12795.8,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.2,980992,35,28028.3,27520.0,26464,37856,2029.8,"void flash_attn_stream_k_fixup_general<(int)512, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.1,736416,6,122736.0,116144.0,111808,155680,16864.7,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.1,617248,123,5018.3,4416.0,4064,11200,1353.8,"void rms_norm_f32<(int)256, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.1,505728,208,2431.4,2272.0,832,15840,1416.1,"void unary_op_kernel<&op_gelu, float>(const T2 *, T2 *, int)"
0.0,258816,1,258816.0,258816.0,258816,258816,0.0,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,209248,11,19022.5,15296.0,5632,40608,9584.7,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long)"
0.0,192896,6,32149.3,32624.0,28032,33920,2101.3,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.0,14208,1,14208.0,14208.0,14208,14208,0.0,"void mul_mat_vec_f<float, float, (int)1, (int)128, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,13600,1,13600.0,13600.0,13600,13600,0.0,"void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,7712,3,2570.7,1184.0,1024,5504,2541.6,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,6432,3,2144.0,2272.0,1408,2752,681.1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,5152,1,5152.0,5152.0,5152,5152,0.0,"softcap_f32(const float *, float *, float, float, int)"
0.0,1792,1,1792.0,1792.0,1792,1792,0.0,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
